Playlist,Categoria,Rotulo,Posicao,Musica,Artista,Duracao,Link_Spotify
TB 100 Vol. 4,Volume,Vol. 4,63,We Don't Need Another Hero (Thunderdome),Tina Turner,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,64,Take a Chance on Me,ABBA,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,65,You Should Be Dancing,Bee Gees,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,66,All Through the Night,Cyndi Lauper,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,67,Skyfall,Adele,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,68,Love Is a Losing Game,Amy Winehouse,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,69,Chain Gang,Sam Cooke,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,70,I've Been Loving You Too Long,Otis Redding,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,71,Formation,Beyoncé,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,72,Only Girl (In the World),Rihanna,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,73,Born This Way,Lady Gaga,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,74,I Kissed a Girl,Katy Perry,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,75,You Belong with Me,Taylor Swift,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,76,Castle on the Hill,Ed Sheeran,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,77,That's What I Like,Bruno Mars,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,78,Can't Feel My Face,The Weeknd,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,79,IDGAF,Dua Lipa,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,80,The Greatest,Sia,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,81,Stan,Eminem,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,82,Izzo (H.O.V.A.),Jay-Z,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,83,All of the Lights,Kanye West,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,84,Money Trees,Kendrick Lamar,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,85,Started From the Bottom,Drake,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,86,Ambitionz Az a Ridah,2Pac,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,87,One More Chance,The Notorious B.I.G.,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,88,Beautiful,Snoop Dogg,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,89,Let Me Ride,Dr. Dre,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,90,"So Fresh, So Clean",OutKast,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,91,Diary,Alicia Keys,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,92,Used to Love U,John Legend,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,93,Money on My Mind,Sam Smith,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,94,Solar Power,Lorde,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,95,Lovely,Billie Eilish,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,96,It's Time,Imagine Dragons,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,97,Moves Like Jagger,Maroon 5,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,98,I Ain't Worried,OneRepublic,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,99,Instant Crush,Daft Punk,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 4,Volume,Vol. 4,100,Corazón Espinado,Santana,,https://open.spotify.com/playlist/1FZ0NQBVzMOSkTEJUYCVQr
TB 100 Vol. 5,Volume,Vol. 5,1,Somebody to Love,Queen,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,2,Help!,The Beatles,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,3,Black or White,Michael Jackson,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,4,Rock and Roll,Led Zeppelin,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,5,All Apologies,Nirvana,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,6,Start Me Up,The Rolling Stones,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,7,Tangled Up in Blue,Bob Dylan,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,8,Changes,David Bowie,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,9,Raspberry Beret,Prince,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,10,Hungry Heart,Bruce Springsteen,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,11,I Still Haven't Found What I'm Looking For,U2,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,12,Shine On You Crazy Diamond,Pink Floyd,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,13,Who Are You,The Who,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,14,Hells Bells,AC/DC,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,15,Fade to Black,Metallica,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,16,Patience,Guns N' Roses,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,17,One of These Nights,Eagles,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,18,Everywhere,Fleetwood Mac,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,19,L.A. Woman,The Doors,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,20,The Wind Cries Mary,Jimi Hendrix,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,21,Is This Love,Bob Marley,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,22,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,23,Mercy Mercy Me (The Ecology),Marvin Gaye,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,24,Rock Steady,Aretha Franklin,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,25,Crocodile Rock,Elton John,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,26,Heartbreak Hotel,Elvis Presley,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,27,Unchain My Heart,Ray Charles,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,28,Rock and Roll Music,Chuck Berry,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,29,I Get Around,The Beach Boys,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,30,Scarborough Fair/Canticle,Simon & Garfunkel,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,31,High and Dry,Radiohead,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,32,Some Might Say,Oasis,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,33,Paradise,Coldplay,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,34,Otherside,Red Hot Chili Peppers,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,35,Walking on the Moon,The Police,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,36,Bad Medicine,Bon Jovi,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,37,Wheel in the Sky,Journey,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,38,Times Like These,Foo Fighters,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,39,Daughter,Pearl Jam,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,40,When I Come Around,Green Day,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,41,One Step Closer,Linkin Park,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,42,Fluorescent Adolescent,Arctic Monkeys,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,43,All These Things That I've Done,The Killers,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,44,Lullaby,The Cure,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,45,People Are People,Depeche Mode,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,46,Burden in My Hand,Soundgarden,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,47,Hotel Yorba,The White Stripes,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,48,And She Was,Talking Heads,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,49,Country House,Blur,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,50,So Far Away,Dire Straits,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,51,Cryin',Aerosmith,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,52,The One I Love,R.E.M.,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,53,Bigmouth Strikes Again,The Smiths,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,54,Hysteria,Muse,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,55,Ain't Talkin' 'bout Love,Van Halen,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,56,Refugee,Tom Petty and the Heartbreakers,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,57,Hollywood Nights,Bob Seger,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,58,I Fought the Law,The Clash,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,59,Sunny Afternoon,The Kinks,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,60,Children of the Grave,Black Sabbath,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,61,Papa Don't Preach,Madonna,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,62,I'm Every Woman,Whitney Houston,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,63,Nutbush City Limits,Tina Turner,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,64,"Money, Money, Money",ABBA,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,65,More Than a Woman,Bee Gees,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,66,Change of Heart,Cyndi Lauper,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,67,Easy on Me,Adele,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,68,Stronger Than Me,Amy Winehouse,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,69,Twistin' the Night Away,Sam Cooke,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,70,Hard to Handle,Otis Redding,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,71,Drunk in Love,Beyoncé,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,72,Don't Stop the Music,Rihanna,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,73,Paparazzi,Lady Gaga,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,74,Teenage Dream,Katy Perry,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,75,Cruel Summer,Taylor Swift,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,76,The A Team,Ed Sheeran,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,77,24K Magic,Bruno Mars,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,78,Die for You,The Weeknd,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,79,Break My Heart,Dua Lipa,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,80,Snowman,Sia,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,81,Rap God,Eminem,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,82,Run This Town,Jay-Z,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,83,Power,Kanye West,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,84,King Kunta,Kendrick Lamar,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,85,"Hold On, We're Going Home",Drake,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,86,I Ain't Mad at Cha,2Pac,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,87,Going Back to Cali,The Notorious B.I.G.,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,88,Sensual Seduction,Snoop Dogg,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,89,Keep Their Heads Ringin',Dr. Dre,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,90,B.O.B. (Bombs Over Baghdad),OutKast,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,91,You Don't Know My Name,Alicia Keys,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,92,Tonight (Best You Ever Had),John Legend,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,93,Lay Me Down,Sam Smith,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,94,Tennis Court,Lorde,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,95,Birds of a Feather,Billie Eilish,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,96,On Top of the World,Imagine Dragons,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,97,Payphone,Maroon 5,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,98,If I Lose Myself,OneRepublic,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,99,Da Funk,Daft Punk,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 5,Volume,Vol. 5,100,Europa (Earth's Cry Heaven's Smile),Santana,,https://open.spotify.com/playlist/4jnPiKbI85t5J7jQKZGGNb
TB 100 Vol. 6,Volume,Vol. 6,1,Killer Queen,Queen,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,2,I Want to Hold Your Hand,The Beatles,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,3,Man in the Mirror,Michael Jackson,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,4,Ramble On,Led Zeppelin,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,5,About a Girl,Nirvana,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,6,Brown Sugar,The Rolling Stones,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,7,Hurricane,Bob Dylan,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,8,Ziggy Stardust,David Bowie,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,9,Let's Go Crazy,Prince,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,10,I'm on Fire,Bruce Springsteen,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,11,Pride (In the Name of Love),U2,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,12,Hey You,Pink Floyd,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,13,Magic Bus,The Who,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,14,Dirty Deeds Done Dirt Cheap,AC/DC,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,15,For Whom the Bell Tolls,Metallica,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,16,Estranged,Guns N' Roses,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,17,Lyin' Eyes,Eagles,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,18,Little Lies,Fleetwood Mac,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,19,Love Her Madly,The Doors,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,20,Little Wing,Jimi Hendrix,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,21,Could You Be Loved,Bob Marley,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,22,Higher Ground,Stevie Wonder,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,23,How Sweet It Is (To Be Loved by You),Marvin Gaye,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,24,Freeway of Love,Aretha Franklin,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,25,Candle in the Wind,Elton John,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,26,Are You Lonesome Tonight?,Elvis Presley,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,27,You Don't Know Me,Ray Charles,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,28,No Particular Place to Go,Chuck Berry,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,29,Kokomo,The Beach Boys,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,30,Homeward Bound,Simon & Garfunkel,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,31,Just,Radiohead,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,32,Stand By Me,Oasis,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,33,A Sky Full of Stars,Coldplay,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,34,Snow (Hey Oh),Red Hot Chili Peppers,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,35,King of Pain,The Police,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,36,Bed of Roses,Bon Jovi,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,37,Lights,Journey,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,38,Monkey Wrench,Foo Fighters,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,39,Yellow Ledbetter,Pearl Jam,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
TB 100 Vol. 6,Volume,Vol. 6,40,Holiday,Green Day,,https://open.spotify.com/playlist/7dvf1rqlbzXxOR3CQ5haVv
